ayd			I	Active	E	Ayabadhu		Ayabadhu
aye			I	Active	L	Ayere		Ayere
ayg			I	Active	L	Ginyanga		Ginyanga
ayh			I	Active	L	Arabic, Hadrami	Arabic, Hadrami	Hadrami Arabic
ayi			I	Active	L	Leyigha		Leyigha
ayk			I	Active	L	Akuku		Akuku
ayl			I	Active	L	Arabic, Libyan	Arabic, Libyan	Libyan Arabic
aym	ay	aym	M	Active	L	Aymara		Aymara
ayn			I	Active	L	Arabic, Sanaani	Arabic, Sanaani	Sanaani Arabic
ayo			I	Active	L	Ayoreo		Ayoreo
ayp			I	Active	L	Arabic, North Mesopotamian	Arabic, North Mesopotamian	North Mesopotamian Arabic
ayq			I	Active	L	Ayi (Papua New Guinea)		Ayi (Papua New Guinea)
ayr			I	Active	L	Aymara, Central	Aymara, Central	Central Aymara
ays			I	Active	L	Ayta, Sorsogon	Ayta, Sorsogon	Sorsogon Ayta
ayt			I	Active	L	Ayta, Magbukun	Ayta, Magbukun	Magbukun Ayta
ayu			I	Active	L	Ayu		Ayu
ayx			I	Retired	L	Ayi (China)		Ayi (China)
ayy			I	Active	E	Ayta, Tayabas	Ayta, Tayabas	Tayabas Ayta
ayz			I	Active	L	Mai Brat		Mai Brat
aza			I	Active	L	Azha		Azha
azb			I	Active	L	Azerbaijani, South	Azerbaijani, South	South Azerbaijani
