Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
auj	A	SIL	auj					Awjilah	I	L	SIL
auk	A	SIL	auk					Heyo	I	L	SIL
aul	A	SIL	aul					Aulua	I	L	SIL
aum	A	SIL	aum					Asu (Nigeria)	I	L	SIL
aun	A	SIL	aun					Molmo One	I	L	SIL
auo	A	SIL	auo					Auyokawa	I	E	SIL
aup	A	SIL	aup					Makayam	I	L	SIL
auq	A	SIL	auq					Anus	I	L	SIL
aur	A	SIL	aur					Aruek	I	L	SIL
aus	A	JAC		aus				Australian languages	C	Genetic	
aut	A	SIL	aut					Austral	I	L	SIL
auu	A	SIL	auu					Auye	I	L	SIL
auv	R	SIL	auv					Auvergnat	I	L	
auw	A	SIL	auw					Awyi	I	L	SIL
aux	A	SIL	aux					Aurá	I	E	SIL
auy	A	SIL	auy					Awiyaana	I	L	SIL
auz	A	SIL	auz					Uzbeki Arabic	I	L	SIL
ava	A	JAC	ava	ava			av	Avaric	I	L	SIL
avb	A	SIL	avb					Avau	I	L	SIL
avd	A	SIL	avd					Alviri-Vidari	I	L	SIL
ave	A	JAC	ave	ave			ae	Avestan	I	A	
avi	A	SIL	avi					Avikam	I	L	SIL
avk	A	SIL	avk					Kotava	I	C	
avl	A	SIL	avl					Eastern Egyptian Bedawi Arabic	I	L	SIL
avm	A	LL	avm					Angkamuthi	I	E	
avn	A	SIL	avn					Avatime	I	L	SIL
avo	A	SIL	avo					Agavotaguerra	I	E	SIL
avs	A	SIL	avs					Aushiri	I	E	SIL
avt	A	SIL	avt					Au	I	L	SIL
avu	A	SIL	avu					Avokaya	I	L	SIL
avv	A	SIL	avv					Avá-Canoeiro	I	L	SIL
awa	A	JAC	awa	awa				Awadhi	I	L	SIL
awb	A	SIL	awb					Awa (Papua New Guinea)	I	L	SIL
awc	A	SIL	awc					Cicipu	I	L	SIL
awd	A	JAC5		awd				Arawakan languages	C	Genetic	
awe	A	SIL	awe					Awetí	I	L	SIL
awg	A	LL	awg					Anguthimri	I	E	
awh	A	SIL	awh					Awbono	I	L	SIL
awi	A	SIL	awi					Aekyom	I	L	SIL
awk	A	SIL	awk					Awabakal	I	E	SIL
awm	A	SIL	awm					Arawum	I	L	SIL
awn	A	SIL	awn					Awngi	I	L	SIL
awo	A	SIL	awo					Awak	I	L	SIL
awr	A	SIL	awr					Awera	I	L	SIL
aws	A	SIL	aws					South Awyu	I	L	SIL
awt	A	SIL	awt					Araweté	I	L	SIL
awu	A	SIL	awu					Central Awyu	I	L	SIL
awv	A	SIL	awv					Jair Awyu	I	L	SIL
aww	A	SIL	aww					Awun	I	L	SIL
awx	A	SIL	awx					Awara	I	L	SIL
awy	A	SIL	awy					Edera Awyu	I	L	SIL
axb	A	SIL	axb					Abipon	I	E	SIL
axe	A	LL	axe					Ayerrerenge	I	E	
axg	A	SIL	axg					Mato Grosso Arára	I	E	SIL
axk	A	SIL	axk					Yaka (Central African Republic)	I	L	SIL
axm	A	LL	axm					Middle Armenian	I	H	
axx	A	SIL	axx					Xaragure	I	L	SIL
aya	A	SIL	aya					Awar	I	L	SIL
