RCK01	Virginia State Agricultural Society Fair Grounds	Rockford, IL	05/06/1871	08/03/1871	6	42.28	-89.10	714
IRO01	Windsor Beach Grounds	Irondequoit, NY	05/11/1890	07/20/1890	6	43.25	-77.59	277
THR01	Three Rivers Park	Three Rivers, NY	05/18/1890	07/20/1890	5	43.20	-76.28	369
MNT01	Estadio Monterrey	Monterrey, MX	08/16/1996	04/04/1999	4	25.72	-100.32	1743
CAN01	Mahaffey Park	Canton, OH	06/15/1902	06/21/1903	3	40.82	-81.41	1058
PIT01	Union Park	Pittsburgh, PA	08/22/1878	08/24/1878	3	40.45	-80.03	767
CIN01	Lincoln Park Grounds	Cincinnati, OH	05/13/1871	07/22/1871	3	39.11	-84.53	513
SPR01	Hampden Park Race Track	Springfield, MA	07/23/1872	05/14/1875	3	42.11	-72.61	67
HON01	Aloha Stadium	Honolulu, HI	04/19/1997	04/20/1997	3	21.37	-157.93	34
GEA01	Geauga Lake Grounds	Geauga Lake, OH	07/22/1888	08/26/1888	3	41.35	-81.37	1030
HRT02	Hartford Trotting Park	Hartford, CT	06/21/1872	08/09/1872	3	41.78	-72.70	59
JER01	Oakland Park	Jersey City, NJ	04/24/1889	04/25/1889	2	40.73	-74.05	94
ELM01	Maple Avenue Driving Park	Elmira, NY	10/10/1885	10/10/1885	2	42.08	-76.78	852
PRO01	Adelaide Avenue Grounds	Providence, RI	06/12/1875	06/22/1875	2	41.80	-71.42	61
COL03	Neil Park I	Columbus, OH	08/03/1902	05/17/1903	2	39.97	-82.99	783
TOL04	Armory Park	Toledo, OH	06/28/1903	08/16/1903	2	41.66	-83.54	597
MAS01	Long Island Grounds	Maspeth, NY	07/27/1890	08/03/1890	2	40.72	-73.91	28
COL04	Neil Park II	Columbus, OH	07/23/1905	07/24/1905	2	39.97	-82.99	783
FOR03	Jailhouse Flats	Fort Wayne, IN	06/22/1902	08/31/1902	2	41.08	-85.14	756
CLL01	Euclid Beach Park	Collinwood, OH	06/12/1898	06/19/1898	2	41.58	-81.57	604
ROC02	Culver Field II	Rochester, NY	08/27/1898	08/29/1898	2	43.15	-77.58	492
RIC01	Richmond Fair Grounds	Richmond, VA	04/29/1875	05/01/1875	2	37.55	-77.45	185
NWK01	Wiedenmeyer's Park	Newark, NJ	07/17/1904	07/17/1904	1	40.72	-74.15	13
WOR03	Worcester Driving Park Grounds	Worcester, MA	10/30/1874	10/30/1874	1	42.27	-71.81	496
LUD01	Ludlow Baseball Park	Ludlow, KY	09/22/1875	09/22/1875	1	39.09	-84.52	599
GRA01	Ramona Park	Grand Rapids, MI	05/24/1903	05/24/1903	1	42.95	-85.61	751
CAN02	Pastime Park	Canton, OH	09/18/1890	09/18/1890	1	40.81	-81.42	1058
CLE09	Cedar Avenue Driving Park	Cleveland, OH	08/21/1887	08/21/1887	1	41.50	-81.63	673
WAR01	Rocky Point Park	Warwick, RI	09/06/1903	09/06/1903	1	41.69	-71.36	38
BAL05	Monumental Park	Baltimore, MD	08/25/1884	08/25/1884	1	39.29	-76.61	32
BAL01	Madison Avenue Grounds	Baltimore, MD	07/08/1871	07/08/1871	1	39.31	-76.63	167
NEW02	Hamilton Park	New Haven, CT	04/21/1875	04/21/1875	1	41.32	-72.95	63
COV01	Star Baseball Park	Covington, KY	09/21/1875	09/21/1875	1	39.07	-84.51	509
WEE01	Monitor Grounds	Weehawken, NJ	09/11/1887	09/11/1887	1	40.79	-74.01	179
MIN01	Athletic Park	Minneapolis, MN	10/02/1891	10/02/1891	1	44.98	-93.27	849
ROC03	Ontario Beach Grounds	Rochester, NY	08/28/1898	08/28/1898	1	43.26	-77.61	268
TOL02	Tri-State Fair Grounds	Toledo, OH	09/13/1884	09/13/1884	1	41.65	-83.59	617
DOV01	Fairview Park Fair Grounds	Dover, DE	06/24/1875	06/24/1875	1	39.17	-75.54	40
SYR03	Iron Pier	Syracuse, NY	08/03/1890	08/03/1890	1	43.07	-76.18	395
NEW03	Beyerle's Park	Newburgh Township, OH	09/02/1888	09/02/1888	1	41.46	-81.66	394
WOR02	Agricultural County Fair Grounds II	Worcester, MA	08/17/1887	08/17/1887	1	42.27	-71.81	496
DAY01	Fairview Park	Dayton, OH	06/08/1902	06/08/1902	1	39.79	-84.21	824
WHE01	Island Grounds	Wheeling, WV	09/22/1890	09/22/1890	1	40.06	-80.73	649
SPA01	Ft. Street Grounds	St. Paul, MN	00/00/0000	00/00/0000	0	44.93	-93.12	791
LOU04	Eclipse Park III	Louisville, KY	08/22/1899	09/02/1899	0	38.25	-85.80	452
