mazerbi01	mazerbi01h	1	42	16	1978	2001	Veterans	0	6|8|9|9|7|13|18|22|24|30|33|30|30|32|42
willine01	willine01h	0	3	1	1936			0	3
daviser01	daviser01h	0	1	1	2007			0	1
murphda02	murphda02h	0	0	2	1937			0	0|0
coopece01	coopece01h	0	0	1	1993			0	0
henrito01	henrito01h	0	21	10	1952			0	2|4|1|4|4|2|6|8|15|21
joynewa01	joynewa01h	0	0	1	2007			0	0
wardjo01	wardjo01h	1	4	2	1936	1964	Veterans	0	4
dykesji01	dykesji01h	0	10	11	1948			0	4|5|1|1|2|2|0|1|10|10|4
huggimi01	huggimi01h	0	64	1	1946			0	64
bottoji01	bottoji01h	1	33	13	1948	1974	Veterans	0	3|5|5|3|3|4|6|10|22|21|33|13
cuccito01	cuccito01h	0	1	2	1956			0	1|1
kammwi01	kammwi01h	0	1	2	1958			0	1|0
fairlro01	fairlro01h	0	1	2	1984			0	0|1
furilca01	furilca01h	0	1	5	1966			0	1|1|1|1|1
mccorfr01	mccorfr01h	0	3	4	1956			0	2|1|3|1
anderbr01	anderbr01h	0	0	1	2008			0	0
whitefr01	whitefr01h	0	4	1	1996			0	4
yorkru01	yorkru01h	0	5	2	1962			0	1|5
greensh01	greensh01h	0	0	1	2013			0	0
ritchcl01	ritchcl01h	0	0	1	1945			0	0
vernomi01	vernomi01h	0	25	15	1966			0	7|5|8|6|3|3|3|6|7|6|13|14|17|20|25
holmeto01	holmeto01h	0	1	2	1958			0	1|1
cirilje01	cirilje01h	0	0	1	2013			0	0
cavarph01	cavarph01h	0	36	12	1962			0	1|11|3|5|8|11|17|23|15|19|17|36
griffke01	griffke01h	0	5	1	1997			0	5
mcinnst01	mcinnst01h	0	5	7	1937			0	0|2|1|4|5|1|1
surhobj01	surhobj01h	0	0	1	2011			0	0
guerrpe01	guerrpe01h	0	1	1	1998			0	1
frymatr01	frymatr01h	0	0	1	2008			0	0
camparo01	camparo01h	1	79	5	1964	1969	BBWAA	0	69|65|70|72|79
mcmulke01	mcmulke01h	0	0	1	1983			0	0
mcgeewi01	mcgeewi01h	0	5	2	2005			0	5|2
gantro01	gantro01h	0	0	1	2009			0	0
keltnke01	keltnke01h	0	0	2	1958			0	0|0
thompro01	thompro01h	0	0	1	2002			0	0
mcmanma01	mcmanma01h	0	1	2	1958			0	1|1
burgesm01	burgesm01h	0	1	2	1973			0	0|1
caminke01	caminke01h	0	0	1	2007			0	0
thomsbo01	thomsbo01h	0	5	14	1966			0	4|3|5|2|1|1|3|1|2|3|2|3|1|3
moseswa01	moseswa01h	0	2	6	1958			0	0|0|1|1|2|2
mondari01	mondari01h	0	0	1	1990			0	0
hebneri01	hebneri01h	0	0	1	1991			0	0
elberki01	elberki01h	0	1	5	1936			0	0|0|1|0|1
seymocy01	seymocy01h	0	0	1	1945			0	0
cravaga01	cravaga01h	0	1	5	1937			0	1|1|1|0|1
jordabr01	jordabr01h	0	0	1	2012			0	0
torgeea01	torgeea01h	0	1	1	1967			0	1
cartyri01	cartyri01h	0	0	1	1985			0	0
huntro01	huntro01h	0	0	1	1980			0	0
rivermi01	rivermi01h	0	0	1	1990			0	0
grantge01	grantge01h	0	0	1	1958			0	0
kluszte01	kluszte01h	0	14	15	1967			0	3|5|3|3|3|3|4|8|9|13|14|13|13|13|14
youngro01	youngro01h	1	22	18	1936	1972	Veterans	0	4|8|15|12|19|9|12|22|16|13|10|15|15|12|13|19|10
stephri01	stephri01h	0	1	4	1956			0	1|0|1|1
murcebo01	murcebo01h	0	1	1	1989			0	1
dimagdo01	dimagdo01h	0	11	9	1960			0	1|1|6|3|4|5|4|9|11
peskyjo01	peskyjo01h	0	0	1	1960			0	0
marioma01	marioma01h	0	40	12	1956			0	1|14|10|25|28|31|31|33|40|34|30|33
galaran01	galaran01h	0	4	1	2010			0	4
pippwa01	pippwa01h	0	0	1	1958			0	0
ennisde01	ennisde01h	0	1	2	1966			0	1|1
russebi01	russebi01h	0	1	1	1992			0	1
steinha01	steinha01h	0	0	3	1937			0	0|0|0
jurgebi01	jurgebi01h	0	1	2	1949			0	1|0
vaughgr01	vaughgr01h	0	0	1	2009			0	0
speiech01	speiech01h	0	0	1	1995			0	0
