Name                                                     	Type	   id	Parent	Children
Austin-Round Rock-San Marcos, TX                             	MSA	12420		48021: Bastrop County, TX | 48055: Caldwell County, TX | 48209: Hays County, TX | 48453: Travis County, TX | 48491: Williamson County, TX
Bakersfield-Delano, CA                                       	MSA	12540		06029: Kern County, CA
Baltimore-Towson, MD                                         	MSA	12580		24003: Anne Arundel County, MD | 24005: Baltimore County, MD | 24013: Carroll County, MD | 24025: Harford County, MD | 24027: Howard County, MD | 24035: Queen Anne's County, MD | 24510: Baltimore city, MD
Bangor, ME                                                   	MSA	12620		23019: Penobscot County, ME
Barnstable Town, MA                                          	MSA	12700		25001: Barnstable County, MA
Baton Rouge, LA                                              	MSA	12940		22005: Ascension Parish, LA | 22033: East Baton Rouge Parish, LA | 22037: East Feliciana Parish, LA | 22047: Iberville Parish, LA | 22063: Livingston Parish, LA | 22077: Pointe Coupee Parish, LA | 22091: St. Helena Parish, LA | 22121: West Baton Rouge Parish, LA | 22125: West Feliciana Parish, LA
Battle Creek, MI                                             	MSA	12980		26025: Calhoun County, MI
Bay City, MI                                                 	MSA	13020		26017: Bay County, MI
Beaumont-Port Arthur, TX                                     	MSA	13140		48199: Hardin County, TX | 48245: Jefferson County, TX | 48361: Orange County, TX
Bellingham, WA                                               	MSA	13380		53073: Whatcom County, WA
Bend, OR                                                     	MSA	13460		41017: Deschutes County, OR
Billings, MT                                                 	MSA	13740		30009: Carbon County, MT | 30111: Yellowstone County, MT
Binghamton, NY                                               	MSA	13780		36007: Broome County, NY | 36107: Tioga County, NY
Birmingham-Hoover, AL                                        	MSA	13820		01007: Bibb County, AL | 01009: Blount County, AL | 01021: Chilton County, AL | 01073: Jefferson County, AL | 01115: St. Clair County, AL | 01117: Shelby County, AL | 01127: Walker County, AL
Bismarck, ND                                                 	MSA	13900		38015: Burleigh County, ND | 38059: Morton County, ND
Blacksburg-Christiansburg-Radford, VA                        	MSA	13980		51071: Giles County, VA | 51121: Montgomery County, VA | 51155: Pulaski County, VA | 51750: Radford city, VA
Bloomington, IN                                              	MSA	14020		18055: Greene County, IN | 18105: Monroe County, IN | 18119: Owen County, IN
Bloomington-Normal, IL                                       	MSA	14060		17113: McLean County, IL
Boise City-Nampa, ID                                         	MSA	14260		16001: Ada County, ID | 16015: Boise County, ID | 16027: Canyon County, ID | 16045: Gem County, ID | 16073: Owyhee County, ID
Boston-Cambridge-Quincy, MA-NH                               	MSA	14460		! 14484: Boston-Quincy, MA MDIV                                                                     	| 14484.25021: Norfolk County, MA | 14484.25023: Plymouth County, MA | 14484.25025: Suffolk County, MA	! 15764: Cambridge-Newton-Framingham, MA MDIV	| 15764.25017: Middlesex County, MA	! 37764: Peabody, MA MDIV	| 37764.25009: Essex County, MA	! 40484: Rockingham County-Strafford County, NH MDIV	| 40484.33015: Rockingham County, NH | 40484.33017: Strafford County, NH
Boulder, CO                                                  	MSA	14500		08013: Boulder County, CO
Bowling Green, KY                                            	MSA	14540		21061: Edmonson County, KY | 21227: Warren County, KY
Bremerton-Silverdale, WA                                     	MSA	14740		53035: Kitsap County, WA
Bridgeport-Stamford-Norwalk, CT                              	MSA	14860		09001: Fairfield County, CT
Brownsville-Harlingen, TX                                    	MSA	15180		48061: Cameron County, TX
Brunswick, GA                                                	MSA	15260		13025: Brantley County, GA | 13127: Glynn County, GA | 13191: McIntosh County, GA
Buffalo-Niagara Falls, NY                                    	MSA	15380		36029: Erie County, NY | 36063: Niagara County, NY
Burlington, NC                                               	MSA	15500		37001: Alamance County, NC
Burlington-South Burlington, VT                              	MSA	15540		50007: Chittenden County, VT | 50011: Franklin County, VT | 50013: Grand Isle County, VT
Canton-Massillon, OH                                         	MSA	15940		39019: Carroll County, OH | 39151: Stark County, OH
Cape Coral-Fort Myers, FL                                    	MSA	15980		12071: Lee County, FL
Cape Girardeau-Jackson, MO-IL                                	MSA	16020		17003: Alexander County, IL | 29017: Bollinger County, MO | 29031: Cape Girardeau County, MO
Carson City, NV                                              	MSA	16180		32510: Carson City, NV
Casper, WY                                                   	MSA	16220		56025: Natrona County, WY
Cedar Rapids, IA                                             	MSA	16300		19011: Benton County, IA | 19105: Jones County, IA | 19113: Linn County, IA
