182	Amarillo, TX	MSA	258196	251933	2.49	Amarillo-Borger, TX CSA
183	Lynchburg, VA	MSA	256455	252634	1.51	
184	Bremerton-Silverdale, WA	MSA	253968	251133	1.13	Seattle-Tacoma, WA CSA
185	Crestview-Fort Walton Beach-Destin, FL	MSA	253618	235865	7.53	
186	Binghamton, NY	MSA	247777	251725	-1.57	
187	Yakima, WA	MSA	247044	243231	1.57	
188	Sioux Falls, SD	MSA	243513	228261	6.68	
189	College Station-Bryan, TX	MSA	236819	228660	3.57	
190	Tuscaloosa, AL	MSA	235628	230162	2.37	
191	Champaign-Urbana, IL	MSA	235162	231891	1.41	
192	Topeka, KS	MSA	234203	233870	0.14	
193	Macon, GA	MSA	231259	232293	-0.45	Macon-Warner Robins, GA CSA
194	Appleton, WI	MSA	229962	225666	1.90	Appleton-Oshkosh-Neenah, WI CSA
195	Charleston, WV	MSA	224743	227078	-1.03	Charleston-Huntington-Ashland, WV-OH-KY CSA
196	Charlottesville, VA	MSA	224055	218705	2.45	
197	Fargo, ND-MN	MSA	223490	208777	7.05	Fargo-Wahpeton, ND-MN CSA
198	Chico, CA	MSA	222090	220000	0.95	
199	Longview, TX	MSA	216530	214369	1.01	Longview-Marshall, TX CSA
200	Tyler, TX	MSA	216080	209714	3.04	Tyler-Jacksonville, TX CSA
201	Prescott, AZ	MSA	215133	211033	1.94	
202	Barnstable Town, MA	MSA	214990	215888	-0.42	Boston-Worcester-Providence, MA-RI-NH-CT CSA
203	Burlington-South Burlington, VT	MSA	214796	211261	1.67	
204	Las Cruces, NM	MSA	213460	209233	2.02	El Paso-Las Cruces, TX-NM CSA
205	Rochester, MN	MSA	211853	206877	2.41	Rochester-Austin, MN CSA
206	Springfield, IL	MSA	211752	210170	0.75	Springfield-Jacksonville-Lincoln, IL CSA
207	Houma-Thibodaux, LA	MSA	209890	208178	0.82	
208	Lafayette-West Lafayette, IN	MSA	209027	201789	3.59	Lafayette-West Lafayette-Frankfort, IN CSA
209	Medford, OR	MSA	208545	203206	2.63	Medford-Grants Pass, OR CSA
210	Bellingham, WA	MSA	206353	201140	2.59	
211	Florence, SC	MSA	206261	205566	0.34	
212	Lake Havasu City-Kingman, AZ	MSA	203030	200186	1.42	Las Vegas-Henderson, NV-AZ CSA
213	Lake Charles, LA	MSA	202040	199607	1.22	
214	Yuma, AZ	MSA	201201	195751	2.78	
215	Johnson City, TN	MSA	200966	198716	1.13	Johnson City-Kingsport-Bristol, TN-VA CSA
216	Elkhart-Goshen, IN	MSA	200563	197559	1.52	South Bend-Elkhart-Mishawaka, IN-MI CSA
217	Hilton Head Island-Bluffton-Beaufort, SC	MSA	198467	187010	6.13	
218	Athens-Clarke County, GA	MSA	197905	192541	2.79	Atlanta-Athens-Clarke County-Sandy Springs, GA CSA
219	Saginaw, MI	MSA	196542	200169	-1.81	Saginaw-Midland-Bay City, MI CSA
