Rank	Name                                                    	Population	Area km^2	pop/km^2
 487	Uniontown--Connellsville, PA                            	     51370	   100.6	   510.9
 488	Casa Grande, AZ                                         	     51331	    57.7	   890.1
 489	Villas, NJ                                              	     51291	    87.7	   584.6
 490	Monroe, MI                                              	     51240	    83.1	   616.3
 491	Brunswick, GA                                           	     51024	   112.4	   454.1
 492	Danville, IL                                            	     50996	    77.2	   660.6
 493	Chambersburg, PA                                        	     50887	    96.8	   525.8
 494	Grants Pass, OR                                         	     50520	    70.4	   717.2
 495	New Bern, NC                                            	     50503	   112.4	   449.2
 496	Grand Island, NE                                        	     50440	    72.9	   692.3
 497	Pascagoula, MS                                          	     50428	   102.4	   492.4
